id,codigo,titulo,carpeta,version,nota_resumen,redistribuible,url1,url2,url3
EM010,EM.010,Instalaciones Electricas Interiores (RM 083-2019-VIVIENDA),RNE_Instalaciones,2019,EM.010 - Instalaciones Electricas Interiores,si,https://cdn-web.construccion.org/normas/rne2012/rne2006/files/titulo3/04_EM/2019_EM010_RM-083-2019-VIVIENDA_Resolucion.pdf,,
G050,G.050,Seguridad durante la Construccion (DS 010-2009-VIVIENDA),RNE_Generales,2009,G.050 - Seguridad durante la Construccion,si,https://www.onpsctr.gob.pe/DocumentosComunes/G.050%20Seg.%20durante%20la%20Construcci%C3%B3n.pdf,https://oiss.org/wp-content/uploads/2018/11/6Norma_G-050_SEGURIDAD_DURANTE_LA_CONSTRUCCION.pdf,
DS011_2006_RNE,RNE,DS 011-2006-VIVIENDA que aprueba el RNE,RNE_Generales,2006,RNE - Reglamento Nacional de Edificaciones,si,https://cdn-web.construccion.org/normas/rne2012/rne2006/files/normatividad/DS-011-2006-VIVIENDA_20060508.pdf,,
Metrados,NT Metrados,Norma Tecnica de Metrados para Obras de Edificacion y HU (RD 073-2010-VIVIENDA),Costos_y_Metrados,2010,Norma Tecnica de Metrados,si,https://spij.minjus.gob.pe/Graficos/Peru/2011/Mayo/18/RD-073-2010-VIVIENDA-VMCS-DNC.pdf,https://waltervillavicencio.com/wp-content/uploads/2021/09/RD-073-2010-VIVIENDA-VMCS-DNC-Norma-Tecnica-Metrados-para-Obras-de-Edificacion-y-Habilitaciones-Urbanas.pdf,
DG2018,DG-2018,Manual de Carreteras: Diseno Geometrico DG-2018 (MTC),Infraestructura,2018,DG-2018 - Diseno Geometrico de Carreteras,si,https://portal.mtc.gob.pe/transportes/caminos/normas_carreteras/documentos/manuales/Manual.de.Carreteras.DG-2018.pdf,,
GuiaNacionalBIM_2023,GNBIM,Guia Nacional BIM (RD 0003-2023-EF/63.01),BIM_Peru,2023,Guia Nacional BIM Peru,si,https://mef.gob.pe/contenidos/inv_publica/anexos/anexo_RD003_2023EF6301.pdf,https://mef.gob.pe/planbimperu/docs/recursos/guia_nacional_BIM_2023.pdf,
PlanBIM_Estrategia,PlanBIM,Plan BIM Peru: estrategia para la adopcion e implementacion,BIM_Peru,2019,Plan BIM Peru,si,https://www.mef.gob.pe/planbimperu/docs/planBIMpE.pdf,,
RD0007_2025,RD 0007-2025-EF/63.01,Nota tecnica de recursos tecnologicos y listado de tipologias BIM,BIM_Peru,2025,Plan BIM Peru,si,https://www.mef.gob.pe/es/normatividad-inv-publica/instrumento/resolucion-directoral/34452-resolucion-directoral-n-0007-2025-ef-63-01-1/file,,
MEF_Normas_BIM_2024,MEF,Capacitacion MEF: normas relevantes para la adopcion de BIM (2024),BIM_Peru,2024,Plan BIM Peru,si,https://www.mef.gob.pe/contenidos/inv_publica/docs/capacitaciones/2024/Capacitacion_2024_03_26.pdf,,
Ley32069,Ley 32069,Ley General de Contrataciones Publicas,Contrataciones,2024,Ley 32069 - Contrataciones Publicas y BIM,si,https://img.lpderecho.pe/wp-content/uploads/2024/06/Ley-32069-LPDerecho.pdf,,
DS009_2025_EF,DS 009-2025-EF,Reglamento de la Ley 32069,Contrataciones,2025,Ley 32069 - Contrataciones Publicas y BIM,si,https://www.imperium.org.pe/archivos/normaslegales/ds-009-2025-ef-reglamento-ley-32069.pdf,https://www.muniate.gob.pe/wp-content/uploads/2025/07/Decreto-Supremo-No-009-2025-EF-que-aprueba-el-Reglamento-de-la-Ley-N%C2%B0-32069-Ley-General-de-Contrataciones-Publicas.pdf,
UKBIM_Guia_Parte1,UK BIM Framework,ISO 19650 Guidance Part 1: Concepts,Guias_BIM_Internacionales,2019,ISO 19650-1 - Conceptos y principios,no,https://www.cdbb.cam.ac.uk/system/files/documents/InformationManagementaccordingtoBSENISO19650GuidancePart1Concepts.pdf,https://nottingham-repository.worktribe.com/preview/21112120/ISO_19650_Guidance_1_Concepts_Edition%203.pdf,
UKBIM_Guia_Parte2,UK BIM Framework,ISO 19650 Guidance Part 2: Processes for project delivery,Guias_BIM_Internacionales,2020,ISO 19650-2 - Fase de desarrollo,no,https://ukbimframework.org/wp-content/uploads/2020/05/ISO19650-2Edition4.pdf,,
BIMForum_LOD_2025_ES,BIMForum,LOD Specification 2025 - Parte I (espanol),Guias_BIM_Internacionales,2025,BIMForum LOD Specification,no,https://bimforum.org/wp-content/uploads/2026/02/2025-LOD-Part-I-Espanol.pdf,,
BIMForum_LOD_2025_EN,BIMForum,LOD Specification 2025 (ingles),Guias_BIM_Internacionales,2025,BIMForum LOD Specification,no,https://bimforum.global/wp-content/uploads/dae-uploads/BIMForum-Global_2025_LOD_ENG_2025-12-26_final.pdf,,
PennState_PxP_v3,Penn State,BIM Project Execution Planning Guide v3 (CC BY-SA 4.0),Guias_BIM_Internacionales,2021,BEP - Plan de Ejecucion BIM,si,https://psu.pb.unizin.org/bimprojectexecutionplanning/open/download?type=pdf,,
E010,E.010,Madera,RNE_Estructuras,2006,Otras normas estructurales del RNE,si,,,
E040,E.040,Vidrio,RNE_Estructuras,2006,Otras normas estructurales del RNE,si,,,
E080,E.080,Diseno y Construccion con Tierra Reforzada (DS 003-2017-VIVIENDA),RNE_Estructuras,2017,Otras normas estructurales del RNE,si,,,
E100,E.100,Bambu,RNE_Estructuras,2012,Otras normas estructurales del RNE,si,,,
EM110,EM.110,Confort Termico y Luminico con Eficiencia Energetica,RNE_Instalaciones,2014,EM.110 - Confort Termico y Luminico,si,,,
E030_RM279_2025_proyecto,E.030,RM 279-2025-VIVIENDA: publicacion del proyecto de modificacion (no vigente),RNE_Estructuras,2025,E.030 - Diseno Sismorresistente,si,,,
